claim_id,claim_amount,claim_age_days,policyholder_age,prior_claims,vehicle_age_years,annual_premium,claim_type,vehicle_type,policy_state,incident_hour,is_fraud
CLM-000056,6816.4,3159,75,1,14,1360.33,windscreen,suv,NSW,3,0
CLM-000057,2657.24,1685,72,1,7,1377.6,collision,suv,NSW,4,0
CLM-000058,482.76,2223,50,1,18,1714.85,collision,sedan,VIC,9,0
CLM-000059,3996.36,2700,76,1,18,1035.69,collision,sedan,WA,15,0
CLM-000060,8981.57,533,75,1,7,1735.53,collision,sedan,WA,23,0
CLM-000061,7520.16,3548,38,1,0,928.02,theft,suv,QLD,8,0
CLM-000062,4218.4,1547,32,2,7,1734.69,collision,suv,VIC,12,0
CLM-000063,1221.55,3247,26,0,6,783.95,collision,sedan,NSW,7,0
CLM-000064,2010.26,1521,79,0,9,1315.5,windscreen,hatchback,VIC,0,0
CLM-000065,12712.75,1480,47,1,12,1886.39,theft,suv,VIC,9,0
CLM-000066,1030.14,2192,55,0,21,1580.09,collision,suv,WA,8,0
CLM-000067,1260.32,696,36,0,1,1489.01,collision,suv,VIC,3,0
CLM-000068,6044.56,2222,44,0,12,1004.02,collision,sedan,NSW,16,0
CLM-000069,2157.34,3589,44,0,3,1107.52,collision,ute,NSW,6,0
CLM-000070,1228.67,2355,56,0,12,1793.65,collision,suv,NSW,5,0
CLM-000071,9376.66,255,29,0,14,1505.87,collision,sedan,WA,9,0
CLM-000072,4212.42,2547,70,1,17,1643.78,collision,hatchback,NSW,23,0
CLM-000073,2238.7,121,44,0,12,1374.35,windscreen,hatchback,NSW,15,0
CLM-000074,1262.27,377,34,0,3,1257.03,collision,ute,NSW,10,0
CLM-000075,13843.28,1038,18,0,20,1603.0,collision,hatchback,WA,19,0
CLM-000076,2926.79,1112,24,0,8,1435.59,collision,hatchback,VIC,0,1
CLM-000077,8501.48,12,36,0,10,1293.91,collision,suv,QLD,8,0
CLM-000078,5826.81,63,67,0,14,883.38,theft,suv,VIC,12,0
CLM-000079,2016.91,2880,75,1,5,1664.79,collision,suv,NSW,11,0
CLM-000080,2028.99,1659,81,0,21,1495.21,windscreen,sedan,WA,16,0
CLM-000081,8819.64,729,37,0,0,1149.93,theft,sedan,NSW,16,0
CLM-000082,8927.47,1567,60,0,3,1739.15,collision,sedan,NSW,10,0
CLM-000083,729.47,2529,35,0,21,1430.46,windscreen,suv,VIC,22,0
CLM-000084,4502.26,2680,27,0,9,1436.92,collision,ute,NSW,22,0
CLM-000085,2721.91,1051,54,0,19,1641.69,collision,ute,NSW,11,0
CLM-000086,1373.35,609,61,0,19,1570.67,collision,sedan,WA,21,0
CLM-000087,3627.54,3501,68,1,21,1446.91,windscreen,sedan,VIC,15,0
CLM-000088,1083.34,2304,25,0,15,1287.77,collision,suv,NSW,3,0
CLM-000089,2100.98,3587,68,0,15,2004.61,collision,suv,VIC,2,0
CLM-000090,1637.86,1119,38,0,13,1107.85,collision,hatchback,QLD,1,0
CLM-000091,2049.1,406,36,1,15,1596.17,collision,hatchback,NSW,5,0
CLM-000092,2825.36,1393,20,0,5,1322.33,theft,hatchback,NSW,7,0
CLM-000093,1391.76,1196,31,1,17,1500.06,collision,hatchback,QLD,1,0
CLM-000094,9700.03,2625,50,0,4,1757.03,collision,hatchback,QLD,14,0
CLM-000095,4315.47,2613,30,2,10,1247.18,collision,suv,SA,9,0
CLM-000096,11452.03,261,39,1,8,1548.61,theft,sedan,VIC,14,0
CLM-000097,2643.71,2145,53,1,16,1437.63,collision,sedan,NSW,12,0
CLM-000098,1975.17,1251,24,1,5,1138.37,collision,suv,VIC,6,0
CLM-000099,11145.73,2244,76,0,4,1765.17,collision,sedan,QLD,14,1
CLM-000100,1932.28,1428,38,0,17,1584.69,liability,sedan,NSW,22,0
CLM-000101,2607.85,1961,68,1,10,1206.6,liability,hatchback,VIC,7,0
CLM-000102,5115.53,2612,61,2,15,1714.19,theft,sedan,NSW,7,0
CLM-000103,1178.16,1070,68,1,19,1075.63,collision,hatchback,WA,12,0
CLM-000104,5082.06,727,37,1,18,1340.45,liability,ute,WA,19,0
CLM-000105,4617.05,2576,29,0,8,1208.36,windscreen,suv,VIC,12,0
CLM-000106,7723.28,3458,27,0,3,1597.93,windscreen,ute,SA,19,0
CLM-000107,5811.15,1620,33,2,21,1191.7,collision,suv,SA,1,0
CLM-000108,7902.89,3641,54,0,6,1600.3,collision,suv,NSW,2,0
CLM-000109,2744.03,674,59,0,16,1546.17,collision,sedan,VIC,9,0
CLM-000110,1560.87,2989,68,2,16,1226.17,liability,hatchback,QLD,5,0
CLM-000111,14508.49,3606,82,1,9,1953.81,collision,sedan,NSW,0,0
CLM-000112,948.59,1093,73,1,3,1104.07,collision,sedan,VIC,5,0
CLM-000113,1022.61,539,41,2,10,885.03,collision,ute,NSW,6,0
CLM-000114,4554.39,2423,49,0,3,1632.51,collision,suv,SA,22,0
CLM-000115,10084.35,3173,81,0,7,640.7,collision,suv,VIC,18,0
CLM-000116,3436.34,303,65,1,8,1842.3,windscreen,suv,QLD,8,0
CLM-000117,6307.39,2338,45,1,11,1383.58,windscreen,sedan,VIC,22,0
CLM-000118,667.24,3180,73,0,4,879.09,windscreen,ute,NSW,20,0
CLM-000119,2049.48,116,27,2,18,1037.01,collision,sedan,WA,6,0
CLM-000120,731.09,1883,63,0,1,810.75,theft,sedan,NSW,11,0
CLM-000121,5352.44,280,81,0,21,1476.35,theft,sedan,NSW,22,0
CLM-000122,934.09,644,53,0,6,912.12,theft,suv,VIC,10,1
CLM-000123,1143.26,1775,59,0,10,1515.69,collision,suv,QLD,8,0
CLM-000124,4383.13,1195,22,0,19,1249.41,collision,suv,VIC,21,0
CLM-000125,6610.19,310,58,0,14,1193.13,collision,sedan,NSW,15,0
CLM-000126,2645.92,2922,37,1,1,1518.08,collision,sedan,NSW,10,0
CLM-000127,4571.65,740,84,1,13,1555.76,collision,suv,NSW,20,0
CLM-000128,4461.95,3176,39,0,12,1728.11,collision,sedan,NSW,17,0
CLM-000129,2536.22,645,39,0,20,1140.85,collision,ute,VIC,8,0
CLM-000130,1311.56,1896,44,1,12,1340.16,theft,hatchback,NSW,10,0
CLM-000131,4553.58,2653,64,1,21,1140.34,collision,suv,NSW,1,0
CLM-000132,4721.22,1753,81,1,11,1403.79,liability,hatchback,QLD,2,0
CLM-000133,5828.52,1522,41,0,4,1093.16,theft,sedan,QLD,22,0
CLM-000134,3767.06,2740,31,1,11,1210.05,collision,sedan,NSW,1,1
CLM-000135,1240.94,42,69,1,20,1211.73,theft,ute,NSW,20,0
CLM-000136,5002.81,3015,54,2,0,1446.81,collision,ute,NSW,4,0
CLM-000137,2977.87,2518,48,2,8,1350.98,liability,hatchback,SA,12,0
CLM-000138,2075.48,2791,84,0,1,1517.08,collision,sedan,NSW,17,0
CLM-000139,2389.94,1536,51,0,18,1314.69,windscreen,ute,NSW,23,0
CLM-000140,1776.33,1403,59,1,11,1158.68,collision,suv,VIC,8,0
CLM-000141,5805.92,2087,83,1,15,1413.12,collision,sedan,NSW,22,0
CLM-000142,1029.07,2343,31,1,21,1047.33,collision,sedan,NSW,10,0
CLM-000143,1415.0,3376,78,1,18,1537.82,liability,hatchback,NSW,20,0
CLM-000144,2329.53,3129,82,0,8,1255.8,collision,sedan,QLD,2,0
CLM-000145,9999.73,196,49,0,20,1417.49,collision,hatchback,QLD,6,0
CLM-000146,6572.9,553,40,1,10,1422.61,collision,suv,QLD,14,0
CLM-000147,870.76,3455,28,1,21,1878.51,collision,ute,QLD,16,0
CLM-000148,8213.3,1416,21,0,21,1475.92,collision,ute,NSW,19,0
CLM-000149,8201.44,2118,83,1,4,1374.16,collision,hatchback,WA,8,0
CLM-000150,1235.82,206,46,0,17,1121.52,collision,sedan,QLD,14,0
CLM-000151,449.85,381,62,0,15,1614.79,windscreen,sedan,WA,14,0
CLM-000152,2823.79,1492,34,2,16,1260.83,liability,suv,QLD,23,0
CLM-000153,6917.56,2618,39,1,3,846.59,collision,suv,VIC,2,0
CLM-000154,9832.48,2818,72,1,11,1285.62,collision,sedan,NSW,0,0
CLM-000155,1551.35,3265,61,1,3,1413.19,collision,sedan,VIC,13,0
CLM-000156,11092.05,719,32,1,19,1079.89,theft,suv,NSW,0,0
CLM-000157,560.62,736,18,3,19,1311.0,collision,sedan,VIC,4,0
CLM-000158,2261.9,1977,72,1,12,1326.41,theft,sedan,NSW,12,0
CLM-000159,2180.03,1996,23,1,2,1331.55,windscreen,hatchback,NSW,6,0
CLM-000160,7074.51,133,20,1,14,1757.43,windscreen,sedan,SA,6,1
CLM-000161,7892.96,1632,38,0,9,917.19,collision,hatchback,QLD,8,0
CLM-000162,6097.7,3276,80,0,17,2021.15,liability,hatchback,VIC,16,0
CLM-000163,1082.56,598,61,0,2,1339.16,collision,sedan,VIC,8,0
CLM-000164,5692.84,2993,20,0,8,1541.47,collision,ute,VIC,19,0
CLM-000165,4366.78,1632,79,2,7,1392.19,collision,suv,WA,3,0
CLM-000166,851.14,1914,80,1,20,780.41,collision,ute,QLD,2,0
CLM-000167,632.54,2341,64,0,6,1001.33,windscreen,sedan,QLD,3,0
CLM-000168,6493.08,2576,22,0,21,1176.99,windscreen,sedan,VIC,22,0
CLM-000169,2604.32,2326,18,0,20,1677.93,collision,sedan,VIC,6,0
CLM-000170,1136.96,379,76,1,12,893.17,liability,suv,QLD,0,0
CLM-000171,2550.06,1077,73,1,3,1067.61,collision,hatchback,SA,7,0
CLM-000172,3916.8,3085,73,0,4,1404.4,collision,ute,VIC,16,0
CLM-000173,2801.36,146,50,1,0,1506.04,collision,ute,VIC,8,0
CLM-000174,930.77,2610,57,1,17,1496.1,liability,hatchback,VIC,9,0
CLM-000175,12260.86,1899,29,0,15,1025.28,collision,ute,VIC,2,0
CLM-000176,6330.68,437,20,0,7,822.66,collision,sedan,SA,16,0
CLM-000177,2318.02,448,32,0,16,1527.89,collision,hatchback,QLD,5,0
CLM-000178,2389.12,3579,59,0,12,1822.93,liability,suv,VIC,2,0
CLM-000179,3903.45,113,44,0,17,1236.05,liability,sedan,VIC,17,0
CLM-000180,1277.66,82,59,0,1,972.25,windscreen,suv,VIC,22,0
CLM-000181,3797.15,61,47,1,4,1208.14,liability,hatchback,NSW,14,0
CLM-000182,1098.77,2294,55,0,17,1480.04,liability,sedan,VIC,22,0
CLM-000183,2827.36,3381,81,1,8,1273.06,collision,suv,WA,9,0
CLM-000184,1240.87,626,60,1,21,1814.37,collision,sedan,QLD,12,0
CLM-000185,1288.76,2904,81,0,19,1655.24,windscreen,sedan,NSW,8,0
CLM-000186,10242.41,2625,82,0,2,1410.83,theft,sedan,QLD,12,0
CLM-000187,3116.36,838,59,0,8,705.07,collision,ute,QLD,21,0
CLM-000188,3482.67,256,84,1,16,1121.55,collision,hatchback,NSW,15,0
CLM-000189,659.49,1780,34,0,3,1169.15,windscreen,sedan,QLD,0,0
CLM-000190,1905.02,296,52,1,18,1103.62,collision,sedan,QLD,13,0
CLM-000191,4212.91,414,23,0,2,1412.97,liability,sedan,WA,9,0
CLM-000192,3448.18,1701,24,2,2,1419.78,collision,sedan,NSW,13,0
CLM-000193,592.58,2977,26,0,11,797.56,collision,suv,NSW,13,0
CLM-000194,3481.97,3628,26,0,5,1615.52,windscreen,ute,VIC,14,0
CLM-000195,3924.21,2291,45,0,14,1355.32,collision,suv,NSW,20,0
CLM-000196,7807.35,1009,66,1,8,1468.02,collision,suv,VIC,20,0
CLM-000197,1823.62,1198,84,1,5,1595.79,theft,suv,QLD,23,0
CLM-000198,554.71,2235,83,0,18,1096.9,windscreen,sedan,NSW,14,0
CLM-000199,1411.52,632,29,0,3,1765.44,collision,sedan,VIC,6,0
CLM-000200,1309.24,1892,47,0,10,1303.21,collision,hatchback,SA,4,0
CLM-000201,5179.85,2806,46,0,3,1849.14,windscreen,ute,VIC,20,0
CLM-000202,388.56,3073,24,3,3,1055.0,liability,hatchback,VIC,21,0
CLM-000203,2129.69,215,20,3,4,1824.62,collision,hatchback,VIC,0,0
CLM-000204,8684.95,1053,41,0,5,1051.69,collision,suv,NSW,5,0
CLM-000205,2997.13,930,75,1,9,2191.1,collision,hatchback,NSW,16,0
CLM-000206,5838.55,2025,43,0,10,1035.89,collision,suv,QLD,3,0
CLM-000207,870.14,676,43,0,3,1698.67,collision,sedan,VIC,1,0
CLM-000208,896.51,3469,84,0,0,1230.41,theft,sedan,NSW,23,0
CLM-000209,8759.83,3347,43,0,2,1585.96,collision,sedan,NSW,2,0
CLM-000210,3216.06,1213,64,1,13,1336.63,collision,sedan,WA,5,0
CLM-000211,3221.03,1485,83,0,21,989.89,theft,suv,NSW,23,0
CLM-000212,1288.7,1603,25,0,0,450.0,theft,ute,QLD,2,0
CLM-000213,3215.01,155,52,1,0,2177.5,collision,ute,VIC,19,0
CLM-000214,1262.12,3244,40,0,17,1374.1,windscreen,suv,VIC,13,0
CLM-000215,7260.13,2844,25,0,15,450.0,windscreen,sedan,NSW,12,0
CLM-000216,23060.42,1213,21,0,16,1449.86,windscreen,ute,NSW,19,0
CLM-000217,4285.34,1998,61,1,3,1577.56,collision,suv,VIC,0,0
CLM-000218,1851.57,1389,61,1,19,1114.02,collision,sedan,QLD,1,0
CLM-000219,445.75,832,55,2,13,1116.24,liability,sedan,NSW,4,0
CLM-000220,842.73,1110,63,0,3,1343.45,collision,suv,VIC,11,0
CLM-000221,9567.68,390,66,0,2,1746.86,collision,sedan,VIC,23,0
CLM-000222,1377.61,2954,21,2,13,1382.99,collision,hatchback,NSW,1,0
CLM-000223,2257.19,2389,20,0,17,1832.86,theft,ute,VIC,10,0
CLM-000224,4873.14,3395,40,2,17,1723.3,liability,ute,NSW,10,0
CLM-000225,9060.84,23,56,0,12,1274.5,collision,sedan,VIC,4,0
CLM-000226,2566.53,2303,78,0,11,831.73,liability,hatchback,NSW,8,0
CLM-000227,2200.63,2045,83,1,15,1275.2,collision,ute,VIC,4,0
CLM-000228,3145.46,2276,73,1,2,1523.74,collision,sedan,NSW,3,0
CLM-000229,1861.75,3612,37,1,8,1369.76,theft,suv,VIC,12,0
CLM-000230,1938.43,1423,56,1,2,1559.36,collision,suv,VIC,22,0
CLM-000231,4059.89,514,25,1,18,1634.93,collision,suv,WA,9,0
CLM-000232,3425.38,45,50,2,13,1525.18,collision,sedan,VIC,15,0
CLM-000233,14745.66,1795,24,0,17,1259.14,liability,suv,WA,16,1
CLM-000234,4142.84,634,84,1,10,1521.56,theft,sedan,NSW,20,0
CLM-000235,7068.19,515,48,0,20,2087.71,liability,sedan,VIC,19,0
CLM-000236,1334.8,538,66,2,20,858.34,windscreen,sedan,NSW,21,0
CLM-000237,4419.88,1010,24,1,13,1510.8,collision,hatchback,VIC,19,0
CLM-000238,1733.27,422,81,3,18,1954.56,windscreen,sedan,QLD,22,0
CLM-000239,4010.17,1773,53,2,14,962.39,collision,suv,WA,23,0
CLM-000240,4995.97,2387,22,0,15,1680.36,collision,suv,VIC,17,0
CLM-000241,3094.56,1056,42,1,5,1724.46,windscreen,hatchback,QLD,11,0
CLM-000242,18133.1,497,32,1,21,862.64,windscreen,suv,NSW,7,0
CLM-000243,8699.19,2089,22,1,4,1585.08,collision,hatchback,NSW,13,0
CLM-000244,7207.91,312,20,2,15,1260.47,collision,sedan,QLD,19,0
CLM-000245,5288.1,2692,65,1,13,1330.05,theft,sedan,NSW,18,0
CLM-000246,11187.14,1396,76,2,2,1242.76,windscreen,suv,NSW,12,0
CLM-000247,1014.62,1496,62,0,17,1783.19,theft,suv,SA,1,0
CLM-000248,8330.78,908,64,0,1,1313.0,collision,hatchback,SA,6,0
CLM-000249,1417.38,1032,20,0,11,1197.11,collision,hatchback,QLD,13,0
CLM-000250,1952.27,532,29,1,17,1202.7,collision,suv,VIC,9,0
CLM-000251,4541.64,2036,20,3,2,1237.47,theft,hatchback,WA,10,0
CLM-000252,7516.95,533,83,0,7,993.75,windscreen,suv,NSW,7,0
CLM-000253,1254.91,2483,67,1,11,1194.2,collision,sedan,VIC,1,0
CLM-000254,2029.59,935,82,1,20,1388.83,collision,suv,VIC,11,0
CLM-000255,3207.19,2063,78,0,8,1483.45,collision,sedan,WA,10,0
CLM-000256,2592.1,1959,33,2,2,1747.33,windscreen,hatchback,WA,18,0
CLM-000257,5656.29,2311,52,1,2,1429.52,windscreen,sedan,QLD,2,0
CLM-000258,39220.14,2767,61,0,4,1193.42,collision,sedan,NSW,11,1
CLM-000259,4082.6,2046,67,0,19,1016.36,collision,suv,VIC,20,0
CLM-000260,1717.46,3112,62,0,17,1447.18,theft,sedan,NSW,6,0
CLM-000261,1127.34,945,48,0,9,1311.27,collision,sedan,WA,7,0
CLM-000262,2335.68,2742,18,0,18,1322.18,windscreen,ute,NSW,2,0
CLM-000263,1472.64,1251,80,0,20,1436.63,collision,sedan,NSW,13,0
CLM-000264,4232.98,2292,64,0,19,1521.4,collision,suv,QLD,20,0
CLM-000265,4183.97,1795,74,0,0,1439.01,liability,suv,VIC,11,0
CLM-000266,2106.16,3312,32,1,2,1293.73,collision,sedan,WA,10,0
CLM-000267,13209.83,989,25,1,15,1085.54,collision,sedan,NSW,17,0
CLM-000268,1717.14,1897,78,0,8,1147.78,collision,ute,WA,10,0
CLM-000269,2725.55,600,71,4,3,1629.93,collision,hatchback,NSW,9,0
CLM-000270,4814.43,2311,74,1,14,1210.22,collision,sedan,NSW,18,1
CLM-000271,5819.92,134,47,3,7,905.81,collision,hatchback,VIC,6,0
CLM-000272,7771.22,1502,78,0,20,1732.66,collision,suv,NSW,20,0
CLM-000273,4110.8,36,33,0,12,1039.02,collision,suv,VIC,6,0
CLM-000274,6556.32,1194,68,0,5,1361.63,theft,ute,NSW,12,0
CLM-000275,1810.16,1766,51,1,20,1512.08,theft,ute,NSW,6,0
CLM-000276,5934.64,1210,29,0,13,1351.06,collision,hatchback,QLD,15,0
CLM-000277,5875.5,1408,66,1,6,532.21,collision,suv,NSW,10,0
CLM-000278,9271.17,541,42,0,3,1478.86,collision,suv,QLD,5,0
CLM-000279,852.93,2608,28,0,12,1787.73,windscreen,suv,QLD,17,0
CLM-000280,1509.62,2907,65,0,16,1609.56,windscreen,sedan,NSW,22,0
CLM-000281,5526.75,1659,69,1,18,649.08,collision,ute,QLD,0,0
CLM-000282,408.09,202,39,1,2,2051.99,collision,sedan,NSW,13,0
CLM-000283,4311.34,227,82,1,9,912.47,collision,sedan,VIC,17,0
CLM-000284,6600.19,2462,65,0,21,994.12,collision,sedan,NSW,17,0
CLM-000285,1934.72,3390,19,1,14,1608.02,collision,sedan,WA,5,0
CLM-000286,2158.91,3155,40,1,2,1499.44,collision,suv,VIC,2,0
CLM-000287,1331.95,1480,83,1,20,1376.51,collision,suv,VIC,12,0
CLM-000288,2015.94,1815,29,0,15,1162.1,collision,suv,SA,15,0
CLM-000289,2060.23,595,81,2,10,1789.18,collision,sedan,VIC,6,0
CLM-000290,1786.24,256,52,1,17,1337.02,collision,suv,WA,8,0
CLM-000291,1714.27,2795,63,2,14,833.28,windscreen,suv,QLD,12,0
CLM-000292,2432.67,1563,63,0,5,1756.66,collision,ute,SA,10,0
CLM-000293,2410.7,1813,52,0,17,1422.36,liability,suv,WA,11,0
CLM-000294,12156.25,1252,52,3,5,1717.95,collision,suv,SA,16,0
CLM-000295,2218.0,1143,56,0,5,1538.94,windscreen,suv,NSW,23,0
CLM-000296,3858.8,3597,61,0,13,2139.24,liability,hatchback,QLD,19,0
CLM-000297,1933.98,2979,67,0,0,1247.71,liability,ute,WA,0,0
CLM-000298,1915.63,2523,47,0,13,1355.31,windscreen,suv,QLD,8,0
CLM-000299,830.25,1420,47,0,12,1587.54,windscreen,suv,NSW,0,0
CLM-000300,917.34,2632,70,0,15,1249.75,theft,sedan,SA,20,0
CLM-000301,1205.62,1238,68,0,3,1614.87,windscreen,hatchback,NSW,15,0
CLM-000302,3421.29,1882,61,1,12,450.0,collision,sedan,VIC,5,0
CLM-000303,6681.72,529,48,0,9,1325.98,collision,sedan,VIC,20,0
CLM-000304,780.55,2589,56,1,3,1316.01,collision,hatchback,NSW,13,0
CLM-000305,1974.74,220,56,1,9,1304.06,windscreen,ute,QLD,1,0
CLM-000306,1069.38,2637,47,1,20,1060.61,collision,sedan,NSW,3,0
CLM-000307,2444.98,2203,29,1,18,1649.02,collision,sedan,QLD,19,0
CLM-000308,6679.69,242,53,0,3,1183.53,theft,sedan,WA,6,0
CLM-000309,2132.05,1847,47,0,18,1416.09,collision,suv,VIC,12,0
CLM-000310,2876.59,812,21,0,12,1337.74,collision,sedan,QLD,21,0
CLM-000311,8878.8,1737,82,0,1,1515.12,collision,hatchback,NSW,6,0
CLM-000312,4202.46,47,62,0,20,1822.22,collision,hatchback,WA,0,0
CLM-000313,1685.69,2634,25,0,11,1414.38,collision,suv,SA,2,0
CLM-000314,3358.29,1860,31,1,20,1627.66,collision,suv,NSW,21,0
CLM-000315,1602.53,1322,56,0,2,1397.81,collision,sedan,QLD,14,0
CLM-000316,4086.16,3196,75,0,3,1183.02,collision,sedan,VIC,7,0
CLM-000317,4387.46,2354,50,0,19,1303.29,collision,ute,VIC,1,1
CLM-000318,1069.16,2224,72,1,5,1256.43,theft,sedan,QLD,16,0
CLM-000319,3399.43,536,26,0,12,1537.49,collision,sedan,VIC,0,0
CLM-000320,2729.35,1825,53,0,13,1385.2,liability,sedan,QLD,2,0
CLM-000321,4485.06,2557,73,0,20,1087.89,liability,sedan,NSW,14,0
CLM-000322,5560.87,3379,74,0,7,1276.75,collision,suv,VIC,15,0
CLM-000323,4264.53,2205,34,0,16,846.45,collision,ute,WA,13,0
CLM-000324,2374.65,628,62,0,16,1289.08,collision,hatchback,NSW,21,0
CLM-000325,6002.9,2474,20,2,15,1350.43,windscreen,suv,VIC,6,0
CLM-000326,1548.75,272,27,0,11,1946.79,theft,hatchback,NSW,13,0
CLM-000327,1107.22,1142,78,1,1,1794.99,windscreen,suv,WA,7,0
CLM-000328,271.38,3348,67,1,5,1008.76,collision,hatchback,VIC,8,0
CLM-000329,2828.2,2926,31,0,12,1416.58,theft,suv,VIC,3,0
CLM-000330,1609.76,3295,84,0,9,1422.37,collision,sedan,NSW,19,0
CLM-000331,4017.1,1286,84,3,4,1273.96,windscreen,hatchback,VIC,16,0
CLM-000332,679.65,2492,20,1,15,1294.99,collision,sedan,SA,17,0
CLM-000333,1834.66,2555,19,0,10,1233.2,theft,sedan,VIC,3,0
CLM-000334,4241.63,897,34,2,17,1967.99,windscreen,sedan,VIC,2,0
CLM-000335,1376.95,3440,71,0,12,1212.66,collision,suv,QLD,18,0
CLM-000336,4051.91,3539,58,0,8,1462.51,theft,suv,VIC,15,0
CLM-000337,1963.01,402,52,0,2,515.42,collision,suv,VIC,0,0
CLM-000338,2908.5,2793,45,0,2,1621.78,windscreen,hatchback,VIC,15,0
CLM-000339,4658.13,1634,50,1,11,1740.8,collision,sedan,NSW,23,0
CLM-000340,6091.18,2459,60,1,7,1002.83,liability,suv,QLD,18,0
CLM-000341,3195.09,2023,22,0,15,1181.08,collision,suv,WA,6,0
CLM-000342,1618.88,813,57,0,13,1499.0,liability,hatchback,WA,7,0
CLM-000343,2114.28,350,32,0,6,1356.42,windscreen,sedan,WA,18,0
